Date,COTY count,COTY polarity mean,COTY polarity std,COTY subjectivity mean,COTY subjectivity std,COTY Watchlist count,DVN count,DVN polarity mean,DVN polarity std,DVN subjectivity mean,DVN subjectivity std,DVN Watchlist count,SLB count,SLB polarity mean,SLB polarity std,SLB subjectivity mean,SLB subjectivity std,SLB Watchlist count,SWKS count,SWKS polarity mean,SWKS polarity std,SWKS subjectivity mean,SWKS subjectivity std,SWKS Watchlist count,NFX count,NFX polarity mean,NFX polarity std,NFX subjectivity mean,NFX subjectivity std,NFX Watchlist count,HAL count,HAL polarity mean,HAL polarity std,HAL subjectivity mean,HAL subjectivity std,HAL Watchlist count,TIF count,TIF polarity mean,TIF polarity std,TIF subjectivity mean,TIF subjectivity std,TIF Watchlist count,AMG count,AMG polarity mean,AMG polarity std,AMG subjectivity mean,AMG subjectivity std,AMG Watchlist count,NBL count,NBL polarity mean,NBL polarity std,NBL subjectivity mean,NBL subjectivity std,NBL Watchlist count,BHGE count,BHGE polarity mean,BHGE polarity std,BHGE subjectivity mean,BHGE subjectivity std,BHGE Watchlist count,FTI count,FTI polarity mean,FTI polarity std,FTI subjectivity mean,FTI subjectivity std,FTI Watchlist count
2018-07-03,1.0,0.0,,0.0,,1376.0,15.0,0.040413019079685766,0.3518584735935166,0.4399775533108867,0.32235015141548906,3161.0,13.0,-0.004519230769230761,0.1897912356802222,0.3069230769230769,0.38182423127630805,5591.0,2.0,0.15,0.21213203435596426,0.4,0.42426406871192857,9310.0,3.0,0.28939393939393937,0.4435099795138489,0.37575757575757573,0.37500229567708704,919.0,17.0,-0.004576401267577738,0.17812955142611758,0.24510299069122599,0.2663857993580145,7781.0,7.0,0.05482529375386518,0.11209115585147936,0.41671923314780457,0.2457576401318846,3079.0,2.0,0.06818181818181818,0.0,0.37727272727272726,0.0,260.0,2.0,0.48939393939393944,0.4392633034643705,0.6674242424242425,0.11677975628686918,1322.0,1.0,0.2,,0.3,,2011.0,4.0,0.0,0.0,0.0,0.0,415.0
2018-07-04,1.0,0.225,,0.4,,1376.0,5.0,0.06000000000000001,0.1341640786499874,0.19,0.1746424919657298,3161.0,4.0,0.2,0.4,0.3375,0.30923292192132457,5591.0,3.0,0.0,0.0,0.09999999999999999,0.17320508075688773,9310.0,4.0,0.05,0.2516611478423583,0.325,0.42720018726587655,919.0,4.0,0.1927777777777778,0.4235199355431444,0.41694444444444445,0.2506048239315791,7781.0,2.0,0.19444444444444445,0.27498597046143514,0.49444444444444446,0.13356461422412563,3079.0,1.0,0.0,,0.1,,260.0,1.0,0.0,,0.3,,1322.0,3.0,0.16666666666666666,0.2886751345948129,0.26666666666666666,0.2516611478423583,2011.0,1.0,0.25,,0.25,,415.0
2018-07-10,5.0,0.12944444444444445,0.29935372775528896,0.37555555555555553,0.41323774282943404,1376.0,18.0,0.06937389770723104,0.12085064097563039,0.36526014109347443,0.3911861640528587,3161.0,8.0,0.14375,0.26109316892087175,0.35208333333333336,0.3240906080438343,5591.0,7.0,-0.01904761904761904,0.13032316365146676,0.2261904761904762,0.26314640743516093,9310.0,2.0,0.16666666666666666,0.23570226039551584,0.16666666666666666,0.23570226039551584,919.0,21.0,-0.011904761904761902,0.30980024286012187,0.3992063492063493,0.31922110895446193,7781.0,7.0,0.31309523809523815,0.29945386797905793,0.6351851851851852,0.2692455037497146,3079.0,3.0,0.0,0.0,0.0,0.0,260.0,9.0,0.1825140291806958,0.24765682564087085,0.3845735129068462,0.3085099750379772,1322.0,1.0,0.0,,0.0,,2011.0,19.0,0.13570175438596493,0.18087520064018636,0.4498245614035087,0.3133554438302256,415.0
2018-07-11,2.0,0.0,0.0,0.0,0.0,1376.0,4.0,0.0,0.0,0.0,0.0,3161.0,7.0,0.14710884353741496,0.2110042587582624,0.3001700680272109,0.335735694304599,5591.0,12.0,0.03224206349206349,0.12379647193664012,0.3101686507936508,0.27995773038761795,9310.0,3.0,0.018253968253968262,0.40124758201271526,0.5170634920634921,0.16577282992500736,919.0,25.0,0.022412698412698398,0.2018537952294335,0.3458253968253968,0.35836294240376493,7781.0,11.0,0.11042929292929293,0.15197675685452022,0.4162247474747475,0.24865810246601205,3079.0,2.0,0.13636363636363635,0.0,0.45454545454545453,0.0,260.0,7.0,0.3174603174603175,0.25945948428587196,0.4777777777777778,0.37147520396453626,1322.0,3.0,0.01666666666666668,0.43684474740270524,0.4888888888888889,0.01924500897298757,2011.0,4.0,-0.010714285714285714,0.012710807442894417,0.27232142857142855,0.19233560433231686,415.0
2018-07-13,1.0,0.0,,0.0,,1376.0,10.0,0.19309523809523807,0.22443470601445403,0.2511904761904762,0.2665940235522956,3161.0,5.0,0.0625,0.2576941016011038,0.2,0.27386127875258304,5591.0,3.0,-0.025694444444444436,0.14031730741166343,0.31111111111111106,0.03469443332443553,9310.0,4.0,0.0,0.0,0.15,0.17320508075688773,919.0,11.0,0.038852813852813854,0.08062305689843775,0.29137806637806635,0.2139749429996531,7781.0,5.0,0.16016666666666668,0.21760087060691852,0.40066666666666667,0.10001111049389577,3079.0,1.0,0.2,,0.5,,260.0,1.0,0.25,,0.5499999999999999,,1322.0,6.0,0.019444444444444448,0.09452610848429753,0.3222222222222222,0.38411755530865327,2011.0,1.0,0.0,,0.0,,415.0
2018-07-19,1.0,0.5,,0.6,,1376.0,11.0,-0.018181818181818184,0.046220813886858766,0.11515151515151514,0.15446224735703498,3161.0,18.0,0.05732323232323233,0.15083134464748832,0.19053030303030302,0.2840157654631155,5591.0,93.0,0.10773206333690206,0.2711430677118121,0.18087152244410312,0.3136986886902385,9310.0,5.0,0.1766666666666667,0.46749925727807906,0.39333333333333337,0.3443189735631128,919.0,14.0,0.07261904761904761,0.1989134097202714,0.3550595238095238,0.29923414785782765,7781.0,8.0,0.1009548611111111,0.2740616852196697,0.3245659722222222,0.1917180377082292,3079.0,1.0,0.25,,0.5,,260.0,1.0,0.3,,0.45,,1322.0,9.0,0.08827160493827162,0.21405917543952446,0.2432098765432099,0.3280810482354144,2011.0,5.0,0.0,0.0,0.0,0.0,415.0
2018-07-23,4.0,0.11499999999999999,0.08698658900466592,0.4891666666666667,0.4115316917727399,1376.0,7.0,-0.026530612244897965,0.18302606993008533,0.36122448979591837,0.2517576695917142,3161.0,23.0,0.075,0.13832968231764656,0.24855072463768113,0.3446896218939152,5591.0,35.0,0.009235260770975062,0.2666273919608383,0.2587131519274376,0.2713463578467077,9310.0,2.0,0.18181818181818182,0.25712973861329,0.26136363636363635,0.3696239992566044,919.0,179.0,0.07499725127680734,0.23309466781867924,0.27229974660142253,0.30762805577186575,7781.0,23.0,0.14970808629776022,0.2458902382572928,0.3150021958717611,0.3133897802750994,3079.0,4.0,0.05625,0.1125,0.1,0.2,260.0,4.0,0.2854166666666667,0.3086991073665243,0.4958333333333333,0.4083333333333333,1322.0,8.0,0.0,0.0,0.03125,0.08838834764831845,2011.0,7.0,0.057142857142857155,0.1511857892036909,0.4857142857142857,0.501426536422407,415.0
2018-07-24,5.0,0.145,0.22107690969434146,0.18,0.24899799195977465,1376.0,8.0,0.11354166666666665,0.2188506004503079,0.2979166666666667,0.2778085300437684,3161.0,16.0,0.016865079365079375,0.24522101445627573,0.22487599206349204,0.2339858205389333,5591.0,16.0,0.11625744047619045,0.3169913241131682,0.3609002976190476,0.3826005837267945,9310.0,2.0,0.0,0.0,0.05,0.07071067811865477,919.0,103.0,0.09022852429898848,0.25290004953609696,0.2511094474565348,0.30331844312189765,7781.0,19.0,0.1398803827751196,0.2849333244851111,0.37872408293460924,0.29518231861076444,3079.0,5.0,0.07954545454545454,0.1286251199711911,0.35181818181818186,0.19801702906985774,260.0,8.0,0.29221230158730155,0.300581322691162,0.5017361111111112,0.4076942345003142,1322.0,12.0,0.020833333333333332,0.07216878364870323,0.041666666666666664,0.11645001528813151,2011.0,6.0,0.02666666666666667,0.06531972647421809,0.08999999999999998,0.220454076850486,415.0
2018-07-25,2.0,0.0,0.0,0.2,0.1414213562373095,1376.0,8.0,-0.06550505050505051,0.1114326712562381,0.44410353535353536,0.24298257576419302,3161.0,20.0,0.045070707070707074,0.17443560041081466,0.22066161616161617,0.3130838355991216,5591.0,18.0,0.060432098765432096,0.3236969607888665,0.252608024691358,0.2787516773576624,9310.0,5.0,0.010952380952380953,0.024490268324997694,0.06523809523809523,0.14587681567498628,919.0,61.0,-0.0013377135918119518,0.18833598857942555,0.26248135137479406,0.2998228766010372,7781.0,13.0,0.05188811188811189,0.11045436559310803,0.18744755244755243,0.2498901644715929,3079.0,1.0,0.13636363636363635,,0.45454545454545453,,260.0,4.0,0.05357142857142857,0.10714285714285714,0.31785714285714284,0.23972064240394028,1322.0,4.0,0.09583333333333333,0.1600781059358212,0.25,0.28867513459481287,2011.0,18.0,0.045264550264550264,0.12986849344431103,0.1721957671957672,0.2799215356669718,415.0
2018-07-30,3.0,0.04722222222222222,0.15949863577728435,0.2611111111111111,0.1618755809370385,1376.0,5.0,0.21333333333333332,0.34468181784880325,0.5,0.1767766952966369,3161.0,7.0,0.0,0.0,0.21428571428571427,0.2672612419124244,5591.0,6.0,0.08750000000000001,0.13761358944522886,0.2104166666666667,0.24525709299970647,9310.0,1.0,0.21428571428571427,,0.42857142857142855,,919.0,16.0,0.14841382575757578,0.3292832527882988,0.2771780303030303,0.3721447648050952,7781.0,12.0,0.021733940972222227,0.38401357917960366,0.5305555555555556,0.3418298452412298,3079.0,20.0,0.007038419913419913,0.0864234844316659,0.11976190476190476,0.18860191584135227,260.0,1.0,0.8,,0.75,,1322.0,8.0,-0.0125,0.035355339059327376,0.1625,0.21998376563477845,2011.0,12.0,0.05439814814814815,0.1818252108863882,0.23032407407407407,0.3222906979081145,415.0
