,Correlation_abs
FTNT,0.9010444346805885
PKI,0.8994154121017396
RCL,0.868313191664562
LOW,0.84256658071824
FLS,0.8298466397730784
QCOM,0.8225960296086686
JKHY,0.8205662890260886
ADSK,0.8011733470580198
CF,0.7924070361851209
HON,0.7905155395611566
